Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
44,P,Brett de Geus,26,0,0,,,,,,,,,,,,,,,,,,,,,,,degeubr01
45,P,Bryce Miller,25,0,0,,,,,,,,,,,,,,,,,,,,,,,millebr04
46,P,JT Chargois#,33,0,0,,,,,,,,,,,,,,,,,,,,,,,chargjt01
47,P,Mike Baumann,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,baumami01
48,P,Emerson Hancock (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,hancoem01
49,P,Tayler Saucedo*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,sauceta01
50,P,Austin Voth,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,vothau01
,,Team Totals,29.0,157,5876,5157,650,1156,219,13,177,617,137,27,556,1582,.224,.311,.375,.686,103,1932,105,113,14,34,12,-9999
,,Rank in 15 AL teams,,,,15,10,14,12,14,8,,4,9,2,15,14,7,12,10,,12,,1,,12,,-9999
,,Non-Pitcher Totals,29.0,157,5875,5156,650,1156,219,13,177,617,137,27,556,1581,.224,.311,.375,.686,103,1932,105,113,14,34,12,-9999
,,Pitcher Totals,8.6,157,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,-9999
