Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
16,OF,Tommy Pham,36,18,82,79,7,19,2,1,2,7,1,0,3,22,.241,.268,.367,.635,77,29,1,0,0,0,0,phamth01
17,1B,Yuli Gurriel,40,13,45,37,6,11,2,0,0,5,0,0,6,10,.297,.378,.351,.729,108,13,0,0,0,2,0,gourryu01
18,DH,Robbie Grossman#,34,13,28,22,2,3,0,0,0,0,0,0,5,7,.136,.321,.136,.458,36,3,1,1,0,0,0,grossro01
19,OF,Drew Waters# (40-man),25,7,19,16,2,3,1,0,0,1,0,0,2,6,.188,.316,.250,.566,63,4,0,1,0,0,0,waterdr01
20,3B,CJ Alexander*,27,4,8,8,0,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-29,1,0,0,0,0,0,alexacj01
21,RF,Tyler Gentry (40-man),25,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,gentrty01
22,P,Sam Long*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,longsa01
23,P,Seth Lugo,34,0,0,,,,,,,,,,,,,,,,,,,,,,,lugose01
24,P,Kris Bubic*,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,bubickr01
25,P,Tyler Duffey,33,0,0,,,,,,,,,,,,,,,,,,,,,,,duffety01
26,P,Brady Singer,27,0,0,,,,,,,,,,,,,,,,,,,,,,,singebr01
27,P,Nick Pratto* (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,prattni01
28,P,Lucas Erceg*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,erceglu01
29,P,Dan Altavilla,31,0,0,,,,,,,,,,,,,,,,,,,,,,,altavda01
30,P,Michael Lorenzen (15-day IL),32,0,0,,,,,,,,,,,,,,,,,,,,,,,lorenmi01
31,P,Michael Wacha,32,0,0,,,,,,,,,,,,,,,,,,,,,,,wachami01
32,P,Matt Sauer,25,0,0,,,,,,,,,,,,,,,,,,,,,,,sauerma01
33,P,James McArthur (15-day IL),27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mcartja01
34,P,Angel Zerpa*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,zerpaan01
35,P,Alec Marsh,26,0,0,,,,,,,,,,,,,,,,,,,,,,,marshal01
36,P,Anthony Veneziano*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,venezan01
37,P,Jordan Lyles,33,0,0,,,,,,,,,,,,,,,,,,,,,,,lylesjo01
38,P,Chris Stratton (15-day IL),33,0,0,,,,,,,,,,,,,,,,,,,,,,,stratch01
39,P,Colin Selby,26,0,0,,,,,,,,,,,,,,,,,,,,,,,selbyco01
40,P,Hunter Harvey (15-day IL),29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,harvehu01
41,P,John Schreiber,30,0,0,,,,,,,,,,,,,,,,,,,,,,,schrejo01
42,P,Will Smith (15-day IL),34,0,0,,,,,,,,,,,,,,,,,,,,,,,smithwi04
43,P,Will Klein,24,0,0,,,,,,,,,,,,,,,,,,,,,,,kleinwi01
44,P,Jonathan Bowlan (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,bowlajo01
45,P,Nick Anderson,33,0,0,,,,,,,,,,,,,,,,,,,,,,,anderni01
46,P,Daniel Lynch IV*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,lynchda02
47,P,Walter Pennington*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,penniwa01
48,P,Carlos Hernández,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hernaca04
49,P,Cole Ragans*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,raganco01
50,P,Steven Cruz,25,0,0,,,,,,,,,,,,,,,,,,,,,,,cruzst01
,,Team Totals,27.9,156,5770,5229,719,1309,259,35,167,697,129,30,410,1103,.250,.308,.409,.717,100,2139,91,52,22,54,22,-9999
,,Rank in 15 AL teams,,,,9,6,4,4,2,9,,5,10,14,1,3,8,6,6,,6,,10,,2,,-9999
